,cctrans.extent
0,['Utrecht']
1,['Utrecht']
2,['Utrecht']
3,['Utrecht']
4,['California']
5,['San Francisco']
6,['San Francisco']
7,['San Francisco']
8,['Paris']
9,['Paris']
10,['Paris']
11,['Paris']
12,['Utrecht']
13,['Utrecht']
14,['Utrecht']
15,['Utrecht']
16,['Utrecht']
17,['Utrecht']
18,['Palm city']
19,['Palm city']
20,['Palm city']
21,['Utrecht']
22,['Utrecht']
23,['Utrecht']
24,['San Diego']
25,['San Diego']
26,['San Diego']
27,['San Diego']
28,['El Cajon']
29,['El Cajon']
30,['El Cajon']
31,['El Cajon']
32,['El Cajon']
33,['United States of America']
34,['Scotland']
35,['Scotland']
36,['Scotland']
37,['Gresham']
38,['Gresham']
39,['Gresham']
40,['Gresham']
41,['Gresham']
42,['Gresham']
43,['Gresham']
44,['United States of America']
45,['United States of America']
46,['United States of America']
47,['Los Angeles']
48,['Los Angeles']
49,['Los Angeles']
50,['Hillsboro']
51,['Hillsboro']
52,['Hillsboro']
53,['Hillsboro']
54,['Hillsboro']
55,"['Crook county', 'Deschutes county', 'Jefferson county']"
56,"['Crook', 'Deschutes', 'Jefferson county']"
57,"['Crook', 'Deschutes', 'Jefferson county']"
58,"['Crook', 'Deschutes', 'Jefferson county']"
59,"['Crook', 'Deschutes', 'Jefferson county']"
60,"['Crook', 'Deschutes', 'Jefferson county']"
61,"['Crook', 'Deschutes', 'Jefferson county']"
62,['Poway']
63,['Poway']
64,['Poway']
65,['Poway']
66,['Poway']
67,['Poway']
68,['Poway']
69,['USA']
70,['USA']
71,['USA']
72,['Florida']
73,['Florida']
74,['Florida']
75,['Florida']
76,['Florida']
77,['Florida']
78,['Swellendam']
79,['Swellendam']
80,['Swellendam']
81,['Swellendam']
82,"['Assam', 'India']"
83,"['Assam', 'India']"
84,"['Assam', 'India']"
85,['New York City']
86,['California']
87,['Melbourne']
88,['Melbourne']
89,"['Surrey', 'UK']"
90,['Washington DC']
91,"['Kochi', 'India']"
92,['Seattle']
93,['Cape Peninsula']
94,['Cape Peninsula']
95,['Cape Peninsula']
96,['Cape Peninsula']
97,['Cape Peninsula']
98,['world']
99,['world']
100,['United State']
101,['Africa']
102,['Africa']
103,['Africa']
104,['Chernobyl nuclear power plant']
105,['Chernobyl nuclear power plant']
106,['Chernobyl nuclear power plant']
107,['US']
108,['US']
109,['US']
110,"['Loudoun County', 'US']"
111,"['Loudoun County', 'US']"
112,"['Loudoun County', 'US']"
113,['Connecticut']
114,['Ottawa']
115,['Ottawa']
116,['Ottawa']
117,"['Stowe', 'Vermont']"
118,"['Stowe', 'Vermont']"
119,"['Stowe', 'Vermont']"
120,['San Francisco Bay Area']
121,['San Francisco Bay area']
122,['San Francisco Bay area']
123,"['Italy', 'Great Britain', 'Norway']"
124,['globe']
125,"['Pasadena', 'California']"
126,"['Pasadena', 'California']"
127,"['Pasadena', 'California']"
128,"['Pasadena', 'California']"
129,['Colorado']
130,['Colorado']
131,['Colorado']
132,['US']
133,['US']
